Thor: Love and Thunder,Action,Adventure,Comedy
Jurassic World Dominion,Action,Adventure,Sci-Fi
Doctor Strange in the Multiverse of Madness,Action,Adventure,Fantasy
Everything Everywhere All at Once,Action,Adventure,Comedy
Lightyear,Animation,Action,Adventure
The Northman,Action,Adventure,Drama
The Batman,Action,Crime,Drama
Thor: Ragnarok,Action,Adventure,Comedy
The Man from Toronto,Action,Adventure,Thriller
The Princess,Action,Drama,Fantasy
Spider-Man: No Way Home,Action,Adventure,Fantasy
Spiderhead,Action,Crime,Drama
The Lost City,Action,Adventure,Comedy
Thor,Action,Adventure,Fantasy
The Unbearable Weight of Massive Talent,Action,Comedy,Crime
Rocketry: The Nambi Effect,Action,Biography,Drama
Fantastic Beasts: The Secrets of Dumbledore,Action,Adventure,Fantasy
No Time to Die,Action,Adventure,Thriller
Resident Evil: Welcome to Raccoon City,Action,Horror,Sci-Fi
Jurassic Park,Action,Adventure,Sci-Fi
Morbius,Action,Adventure,Horror
Paws of Fury: The Legend of Hank,Animation,Action,Comedy
12 Strong,Action,Drama,History
The Marvels,Action,Adventure,Fantasy
Avengers: Endgame,Action,Adventure,Drama
Dune: Part One,Action,Adventure,Drama
Day Shift,Action,Comedy,Fantasy
Malnazidos,Action,Adventure,Fantasy
Thor: The Dark World,Action,Adventure,Fantasy
Eternals,Action,Adventure,Fantasy
DC League of Super-Pets,Animation,Action,Adventure
Avatar: The Way of Water,Action,Adventure,Sci-Fi
The Dark Knight,Action,Crime,Drama
Ambulance,Action,Crime,Drama
Inception,Action,Adventure,Sci-Fi
Free Guy,Action,Adventure,Comedy
Black Panther: Wakanda Forever,Action,Adventure,Drama
The Woman King,Action,Drama,History
Black Adam,Action,Fantasy,Sci-Fi
Sonic the Hedgehog 2,Action,Adventure,Comedy
Avengers: Infinity War,Action,Adventure,Sci-Fi
The Lord of the Rings: The Fellowship of the Ring,Action,Adventure,Drama
Guardians of the Galaxy,Action,Adventure,Comedy
American Made,Action,Comedy,Crime
Major,Action,Biography,Drama
Star Wars,Action,Adventure,Fantasy
Jurassic World,Action,Adventure,Sci-Fi
Expend4bles,Action,Adventure,Thriller
Samaritan,Action,Drama,Fantasy
Independence Day,Action,Adventure,Sci-Fi
Moonfall,Action,Adventure,Sci-Fi
Doctor Strange,Action,Adventure,Fantasy
Blade Runner 2049,Action,Drama,Mystery
Interceptor,Action,Adventure,Drama
Black Widow,Action,Adventure,Sci-Fi
Jurassic World: Fallen Kingdom,Action,Adventure,Sci-Fi
The Gentlemen,Action,Comedy,Crime
Avatar,Action,Adventure,Fantasy
The King's Man,Action,Adventure,Thriller
Wanted,Action,Crime,Thriller
Tenet,Action,Sci-Fi,Thriller
The Suicide Squad,Action,Adventure,Comedy
The Adam Project,Action,Adventure,Comedy
Gladiator,Action,Adventure,Drama
Léon,Action,Crime,Drama
Captain Marvel,Action,Adventure,Sci-Fi
Shang-Chi and the Legend of the Ten Rings,Action,Adventure,Fantasy
Mad Max: Fury Road,Action,Adventure,Sci-Fi
Pirates of the Caribbean: The Curse of the Black Pearl,Action,Adventure,Fantasy
Heat,Action,Crime,Drama
Star Wars: Episode I - The Phantom Menace,Action,Adventure,Fantasy
CHIPS,Action,Comedy,Crime
Hellboy,Action,Adventure,Fantasy
Spider-Man: Homecoming,Action,Adventure,Sci-Fi
Guardians of the Galaxy Vol. 2,Action,Adventure,Comedy
Enola Holmes,Action,Adventure,Crime
Black Panther,Action,Adventure,Sci-Fi
Doragon boru supa supa hiro,Animation,Action,Adventure
Spider-Man,Action,Adventure,Sci-Fi
Overlord,Action,Horror,Sci-Fi
The Avengers,Action,Adventure,Sci-Fi
Wrath of Man,Action,Crime,Thriller
The Lord of the Rings: The Return of the King,Action,Adventure,Drama
Nobody,Action,Crime,Drama
The Hunger Games,Action,Adventure,Sci-Fi
Minority Report,Action,Crime,Mystery
The Last Duel,Action,Drama,History
John Wick,Action,Crime,Thriller
Blade Runner,Action,Drama,Sci-Fi
Spree,Action,Comedy,Crime
Suicide Squad,Action,Adventure,Fantasy
The Mortal Instruments: City of Bones,Action,Adventure,Fantasy
Resident Evil,Action,Horror,Sci-Fi
Iron Man,Action,Adventure,Sci-Fi
Khuda Haafiz Chapter II: Agni Pariksha,Action,Crime,Drama
John Wick: Chapter 4,Action,Crime,Thriller
Prey,Action,Drama,Horror
Guardians of the Galaxy Vol. 3,Action,Adventure,Comedy
Red Notice,Action,Comedy,Thriller
Ford v Ferrari,Action,Biography,Drama
Deadpool,Action,Adventure,Comedy
Star Wars: Episode IX - The Rise of Skywalker,Action,Adventure,Fantasy
The Mummy,Action,Adventure,Fantasy
Warrior,Action,Drama,Sport
Mission: Impossible - Fallout,Action,Adventure,Thriller
Venom: Let There Be Carnage,Action,Adventure,Sci-Fi
Aquaman,Action,Adventure,Fantasy
Star Wars: Episode III - Revenge of the Sith,Action,Adventure,Fantasy
F9,Action,Crime,Thriller
The Lost World: Jurassic Park,Action,Adventure,Sci-Fi
Zack Snyder's Justice League,Action,Adventure,Fantasy
Never Say Never Again,Action,Adventure,Thriller
Oldeuboi,Action,Drama,Mystery
Ghostbusters,Action,Comedy,Fantasy
Sicario,Action,Crime,Drama
Jack Reacher,Action,Mystery,Thriller
1917,Action,Drama,War
Spider-Man: Into the Spider-Verse,Animation,Action,Adventure
Watchmen,Action,Drama,Mystery
Batman Begins,Action,Crime,Drama
Thief,Action,Crime,Drama
Mission: Impossible,Action,Adventure,Thriller
Operation Fortune: Ruse de guerre,Action,Comedy,Thriller
The Tomorrow War,Action,Adventure,Drama
Star Trek,Action,Adventure,Sci-Fi
Aliens,Action,Adventure,Sci-Fi
Point Break,Action,Crime,Thriller
Divergent,Action,Adventure,Mystery
Mission: Impossible - Dead Reckoning - Part One,Action,Adventure,Thriller
The Lord of the Rings: The Two Towers,Action,Adventure,Drama
Dunkirk,Action,Drama,History
Spider-Man: Far from Home,Action,Adventure,Sci-Fi
Captain America: The First Avenger,Action,Adventure,Sci-Fi
Kingsman: The Secret Service,Action,Adventure,Comedy
The Shallows,Action,Drama,Horror
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,Action,Adventure,Comedy
Deadpool 2,Action,Adventure,Comedy
Rogue One,Action,Adventure,Sci-Fi
The Amazing Spider-Man,Action,Adventure,Sci-Fi
Dune: Part Two,Action,Adventure,Drama
Lone Survivor,Action,Biography,Drama
Final Score,Action,Drama,Thriller
Avengers: Age of Ultron,Action,Adventure,Sci-Fi
El Camino: A Breaking Bad Movie,Action,Crime,Drama
The Fifth Element,Action,Adventure,Sci-Fi
Transformers,Action,Adventure,Sci-Fi
Baby Driver,Action,Crime,Drama
Wild Card,Action,Crime,Drama
The World's End,Action,Comedy,Sci-Fi
Star Wars: Episode VI - Return of the Jedi,Action,Adventure,Fantasy
Pirates of the Caribbean: Dead Men Tell No Tales,Action,Adventure,Fantasy
Samrat Prithviraj,Action,Drama,History
Westworld,Action,Sci-Fi,Thriller
The Empire Strikes Back,Action,Adventure,Fantasy
Casino Royale,Action,Adventure,Thriller
Shazam! Fury of the Gods,Action,Adventure,Comedy
Sonic the Hedgehog,Action,Adventure,Comedy
Pearl Harbor,Action,Drama,History
Godzilla vs. Kong,Action,Sci-Fi,Thriller
The Revenant,Action,Adventure,Drama
Star Wars: Episode VII - The Force Awakens,Action,Adventure,Sci-Fi
Captain America: Civil War,Action,Adventure,Sci-Fi
Logan,Action,Drama,Sci-Fi
Bonnie and Clyde,Action,Biography,Crime
Speed,Action,Adventure,Thriller
Fantastic Four,Action,Adventure,Sci-Fi
Kill Bill: Vol. 1,Action,Crime,Drama
Star Wars: Episode II - Attack of the Clones,Action,Adventure,Fantasy
The Meg,Action,Horror,Sci-Fi
Mr. &amp; Mrs. Smith,Action,Comedy,Crime
Big Trouble in Little China,Action,Adventure,Comedy
Edge of Tomorrow,Action,Adventure,Sci-Fi
Armageddon,Action,Adventure,Sci-Fi
The Mummy,Action,Adventure,Fantasy
Underwater,Action,Horror,Sci-Fi
Ready Player One,Action,Adventure,Sci-Fi
Starship Troopers,Action,Adventure,Sci-Fi
Natural Born Killers,Action,Crime,Drama
Tuff Turf,Action,Comedy,Drama
Les valseuses,Action,Comedy,Crime
Red Sparrow,Action,Drama,Thriller
The Flash,Action,Adventure,Fantasy
Ant-Man and the Wasp: Quantumania,Action,Adventure,Comedy
Collateral,Action,Crime,Drama
The Fugitive,Action,Crime,Drama
Dune,Action,Adventure,Sci-Fi
The Heat,Action,Comedy,Crime
Big Hero 6,Animation,Action,Adventure
Get Smart,Action,Adventure,Comedy
Predator,Action,Adventure,Horror
The Hunt,Action,Horror,Thriller
X-Men,Action,Adventure,Sci-Fi
Rush,Action,Biography,Drama
Jungle Cruise,Action,Adventure,Comedy
Star Wars: Episode VIII - The Last Jedi,Action,Adventure,Fantasy
Black Hawk Down,Action,Drama,History
The Amazing Spider-Man 2,Action,Adventure,Sci-Fi
Solo: A Star Wars Story,Action,Adventure,Sci-Fi
Justice League,Action,Adventure,Fantasy
The Mask,Action,Comedy,Crime
Venom,Action,Adventure,Sci-Fi
Fast X,Action,Crime,Mystery
Wonder Woman 1984,Action,Adventure,Fantasy
Reign of Fire,Action,Adventure,Fantasy
Oblivion,Action,Adventure,Sci-Fi
The Last Castle,Action,Drama,Thriller
The Incredibles,Animation,Action,Adventure
Wonder Woman,Action,Adventure,Fantasy
Wrong Place,Action,Crime,Thriller
Alita: Battle Angel,Action,Adventure,Sci-Fi
The Equalizer,Action,Crime,Thriller
Spectre,Action,Adventure,Thriller
Anek,Action,Drama,Thriller
Ant-Man,Action,Adventure,Comedy
Spider-Man 3,Action,Adventure,Sci-Fi
RoboCop,Action,Crime,Sci-Fi
Captain America: The Winter Soldier,Action,Adventure,Sci-Fi
Apocalypto,Action,Adventure,Drama
Snowpiercer,Action,Sci-Fi,Thriller
Rise of the Footsoldier: Origins,Action,Crime,Drama
Kira &amp; El Gin,Action,Drama,History
Willow,Action,Adventure,Drama
Tropic Thunder,Action,Comedy,War
Pirates of the Caribbean: Dead Man's Chest,Action,Adventure,Fantasy
Iron Man Three,Action,Adventure,Sci-Fi
Jumanji: The Next Level,Action,Adventure,Comedy
Mission: Impossible - Ghost Protocol,Action,Adventure,Thriller
Ready or Not,Action,Comedy,Horror
From Dusk Till Dawn,Action,Crime,Horror
The Fighter,Action,Biography,Drama
Aquaman and the Lost Kingdom,Action,Adventure,Fantasy
Baywatch,Action,Comedy,Crime
Clash of the Titans,Action,Adventure,Family
The Hunger Games: The Ballad of Songbirds and Snakes,Action,Adventure,Drama
Jurassic Park III,Action,Adventure,Sci-Fi
Shika no ou,Animation,Action,Adventure
Terminator: Dark Fate,Action,Adventure,Sci-Fi
Twister,Action,Adventure,Thriller
Underworld,Action,Fantasy,Thriller
Red Dawn,Action,Drama,Thriller
Iron Man 2,Action,Adventure,Sci-Fi
V for Vendetta,Action,Drama,Sci-Fi
The Karate Kid,Action,Drama,Family
Man of Steel,Action,Adventure,Sci-Fi
Mission: Impossible II,Action,Adventure,Thriller
Scott Pilgrim vs. the World,Action,Comedy,Fantasy
Game Night,Action,Adventure,Comedy
K.G.F: Chapter 2,Action,Crime,Drama
Secret Headquarters,Action,Adventure,Comedy
Beverly Hills Cop,Action,Comedy,Crime
Army of Thieves,Action,Comedy,Crime
The Magnificent Seven,Action,Adventure,Western
Infinite,Action,Sci-Fi,Thriller
X-Men: Apocalypse,Action,Adventure,Sci-Fi
The Incredible Hulk,Action,Adventure,Sci-Fi
Kong: Skull Island,Action,Adventure,Fantasy
Ant-Man and the Wasp,Action,Adventure,Comedy
Transformers: Rise of the Beasts,Action,Adventure,Sci-Fi
Mad Max,Action,Adventure,Sci-Fi
Power Rangers,Action,Adventure,Fantasy
The Harder They Fall,Action,Drama,Western
Mission: Impossible - Rogue Nation,Action,Adventure,Thriller
Hancock,Action,Drama,Fantasy
John Wick: Chapter 3 - Parabellum,Action,Crime,Thriller
Pirates of the Caribbean: On Stranger Tides,Action,Adventure,Fantasy
Oldboy,Action,Drama,Mystery
Army of the Dead,Action,Crime,Horror
X-Men: Days of Future Past,Action,Adventure,Sci-Fi
American Sniper,Action,Biography,Drama
Jumanji: Welcome to the Jungle,Action,Adventure,Comedy
Batman Returns,Action,Crime,Fantasy
Shazam!,Action,Adventure,Comedy
Batgirl,Action,Adventure,Crime
Spider-Man 2,Action,Adventure,Sci-Fi
Allied,Action,Drama,Romance
13 Hours,Action,Drama,History
Kingsman: The Golden Circle,Action,Adventure,Comedy
Tomb Raider,Action,Adventure,Fantasy
War of the Worlds,Action,Adventure,Sci-Fi
Constantine,Action,Fantasy,Horror
Fury,Action,Drama,War
Dredd,Action,Crime,Sci-Fi
John Carter,Action,Adventure,Sci-Fi
Commando,Action,Adventure,Thriller
Den of Thieves,Action,Crime,Drama
21 Jump Street,Action,Comedy,Crime
Strange World,Animation,Action,Adventure
Raya and the Last Dragon,Animation,Action,Adventure
Skyfall,Action,Adventure,Thriller
The Fast and the Furious,Action,Adventure,Crime
The Longest Day,Action,Drama,History
Kingdom of Heaven,Action,Adventure,Drama
