Thor: Love and Thunder,Action,Adventure,Comedy
Barbie,Adventure,Comedy,Fantasy
Zombies 3,Family,Musical,Romance
The Lost City,Action,Adventure,Comedy
"Hello, Goodbye and Everything in Between",Comedy,Drama,Romance
Father of the Bride,Comedy,Drama,Romance
Licorice Pizza,Comedy,Drama,Romance
Fifty Shades of Grey,Drama,Romance,Thriller
Verdens verste menneske,Comedy,Drama,Romance
Blonde,Biography,Drama,Mystery
Barefoot,Comedy,Drama,Romance
Jug Jugg Jeeyo,Comedy,Drama,Family
Marry Me,Comedy,Music,Romance
West Side Story,Crime,Drama,Musical
The Girl Next Door,Comedy,Drama,Romance
The French Dispatch,Comedy,Drama,Romance
Love &amp; Gelato,Comedy,Drama,Romance
Hocus Pocus 2,Comedy,Family,Fantasy
The Mortal Instruments: City of Bones,Action,Adventure,Fantasy
Khuda Haafiz Chapter II: Agni Pariksha,Action,Crime,Drama
Beautiful Creatures,Drama,Fantasy,Romance
The Power of the Dog,Drama,Romance,Western
Mr. Malcolm's List,Comedy,Drama,Romance
Twilight,Drama,Fantasy,Romance
10 Things I Hate About You,Comedy,Drama,Romance
The Princess Bride,Adventure,Family,Fantasy
The Terminal,Comedy,Drama,Romance
Crazy Rich Asians,Comedy,Drama,Romance
Witness,Drama,Romance,Thriller
Eternal Sunshine of the Spotless Mind,Drama,Romance,Sci-Fi
Purple Hearts,Drama,Music,Romance
The Blue Lagoon,Adventure,Drama,Romance
The Phantom of the Opera,Drama,Musical,Romance
Heojil kyolshim,Crime,Drama,Mystery
The Parent Trap,Adventure,Comedy,Drama
Pearl Harbor,Action,Drama,History
Ah-ga-ssi,Drama,Romance,Thriller
The Little Mermaid,Adventure,Family,Fantasy
Love Actually,Comedy,Drama,Romance
The Best Years of Our Lives,Drama,Romance,War
The Fountain,Drama,Mystery,Romance
The Sound of Music,Biography,Drama,Family
Nude Tuesday,Comedy,Drama,Romance
Unfaithful,Drama,Romance,Thriller
About Time,Comedy,Drama,Fantasy
Malèna,Drama,Romance,War
Emma.,Comedy,Drama,Romance
Aladdin,Adventure,Comedy,Family
Her,Drama,Romance,Sci-Fi
La La Land,Comedy,Drama,Music
The Age of Adaline,Drama,Fantasy,Romance
The Curious Case of Benjamin Button,Drama,Fantasy,Romance
Victor/Victoria,Comedy,Music,Romance
Steel Magnolias,Comedy,Drama,Romance
Legend,Adventure,Fantasy,Romance
Lucy in the Sky,Drama,Romance,Sci-Fi
Pitch Perfect,Comedy,Music,Romance
