index,Movies,P_Genre,S_Genre,T_Genre,Cluster_ID
0,jurassic world dominion,2,0,16,1
1,doctor strange in the multiverse of madness,2,0,8,21
2,everything everywhere all at once,2,0,15,4
3,lightyear,4,3,3,286
4,the northman,2,0,9,7
5,the batman,2,2,9,3
6,thor: ragnarok,2,0,15,4
7,the man from toronto,2,0,6,313
8,the princess,2,15,8,335
9,spider-man: no way home,2,0,8,21
10,spiderhead,2,2,9,3
11,the lost city,2,0,15,4
12,thor,2,0,8,21
13,the unbearable weight of massive talent,2,1,4,6
14,rocketry: the nambi effect,2,12,9,17
15,fantastic beasts: the secrets of dumbledore,2,0,8,21
16,no time to die,2,0,6,313
17,resident evil: welcome to raccoon city,2,16,16,391
18,jurassic park,2,0,16,1
19,morbius,2,0,10,459
20,paws of fury: the legend of hank,4,3,15,66
21,12 strong,2,15,7,379
22,the marvels,2,0,8,21
23,avengers: endgame,2,0,9,7
24,dune: part one,2,0,9,7
25,day shift,2,1,8,42
26,malnazidos,2,0,8,21
27,thor: the dark world,2,0,8,21
28,eternals,2,0,8,21
29,dc league of super-pets,4,3,3,286
30,avatar: the way of water,2,0,16,1
31,the dark knight,2,2,9,3
32,ambulance,2,2,9,3
33,inception,2,0,16,1
34,free guy,2,0,15,4
35,black panther: wakanda forever,2,0,9,7
36,the woman king,2,15,7,379
37,black adam,2,13,16,129
38,sonic the hedgehog 2,2,0,15,4
39,avengers: infinity war,2,0,16,1
40,the lord of the rings: the fellowship of the ring,2,0,9,7
41,guardians of the galaxy,2,0,15,4
42,american made,2,1,4,6
43,major,2,12,9,17
44,star wars,2,0,8,21
45,jurassic world,2,0,16,1
46,expend4bles,2,0,6,313
47,samaritan,2,15,8,335
48,independence day,2,0,16,1
49,moonfall,2,0,16,1
50,doctor strange,2,0,8,21
51,blade runner 2049,2,15,5,22
52,interceptor,2,0,9,7
53,black widow,2,0,16,1
54,jurassic world: fallen kingdom,2,0,16,1
55,the gentlemen,2,1,4,6
56,avatar,2,0,8,21
57,the king's man,2,0,6,313
58,wanted,2,2,6,5
59,tenet,2,4,6,140
60,the suicide squad,2,0,15,4
61,the adam project,2,0,15,4
62,gladiator,2,0,9,7
63,léon,2,2,9,3
64,captain marvel,2,0,16,1
65,shang-chi and the legend of the ten rings,2,0,8,21
66,mad max: fury road,2,0,16,1
67,pirates of the caribbean: the curse of the black pearl,2,0,8,21
68,heat,2,2,9,3
69,star wars: episode i - the phantom menace,2,0,8,21
70,chips,2,1,4,6
71,hellboy,2,0,8,21
72,spider-man: homecoming,2,0,16,1
73,guardians of the galaxy vol. 2,2,0,15,4
74,enola holmes,2,0,4,156
75,black panther,2,0,16,1
76,doragon boru supa supa hiro,4,3,3,286
77,spider-man,2,0,16,1
78,overlord,2,16,16,391
79,the avengers,2,0,16,1
80,wrath of man,2,2,6,5
81,the lord of the rings: the return of the king,2,0,9,7
82,nobody,2,2,9,3
83,the hunger games,2,0,16,1
84,minority report,2,2,5,37
85,the last duel,2,15,7,379
86,john wick,2,2,6,5
87,blade runner,2,15,16,27
88,spree,2,1,4,6
89,suicide squad,2,0,8,21
90,the mortal instruments: city of bones,2,0,8,21
91,resident evil,2,16,16,391
92,iron man,2,0,16,1
93,khuda haafiz chapter ii: agni pariksha,2,2,9,3
94,john wick: chapter 4,2,2,6,5
95,prey,2,15,10,235
96,guardians of the galaxy vol. 3,2,0,15,4
97,red notice,2,1,6,49
98,ford v ferrari,2,12,9,17
99,deadpool,2,0,15,4
100,star wars: episode ix - the rise of skywalker,2,0,8,21
101,the mummy,2,0,8,21
102,warrior,2,15,17,395
103,mission: impossible - fallout,2,0,6,313
104,venom: let there be carnage,2,0,16,1
105,aquaman,2,0,8,21
106,star wars: episode iii - revenge of the sith,2,0,8,21
107,f9,2,2,6,5
108,the lost world: jurassic park,2,0,16,1
109,zack snyder's justice league,2,0,8,21
110,never say never again,2,0,6,313
111,oldeuboi,2,15,5,22
112,ghostbusters,2,1,8,42
113,sicario,2,2,9,3
114,jack reacher,2,7,6,25
115,1917,2,15,2,291
116,spider-man: into the spider-verse,4,3,3,286
117,watchmen,2,15,5,22
118,batman begins,2,2,9,3
119,thief,2,2,9,3
120,mission: impossible,2,0,6,313
121,operation fortune: ruse de guerre,2,1,6,49
122,the tomorrow war,2,0,9,7
123,star trek,2,0,16,1
124,aliens,2,0,16,1
125,point break,2,2,6,5
126,divergent,2,0,5,52
127,mission: impossible - dead reckoning - part one,2,0,6,313
128,the lord of the rings: the two towers,2,0,9,7
129,dunkirk,2,15,7,379
130,spider-man: far from home,2,0,16,1
131,captain america: the first avenger,2,0,16,1
132,kingsman: the secret service,2,0,15,4
133,the shallows,2,15,10,235
134,birds of prey and the fantabulous emancipation of one harley quinn,2,0,15,4
135,deadpool 2,2,0,15,4
136,rogue one,2,0,16,1
137,the amazing spider-man,2,0,16,1
138,dune: part two,2,0,9,7
139,lone survivor,2,12,9,17
140,final score,2,15,6,16
141,avengers: age of ultron,2,0,16,1
142,el camino: a breaking bad movie,2,2,9,3
143,the fifth element,2,0,16,1
144,transformers,2,0,16,1
145,baby driver,2,2,9,3
146,wild card,2,2,9,3
147,the world's end,2,1,16,121
148,star wars: episode vi - return of the jedi,2,0,8,21
149,pirates of the caribbean: dead men tell no tales,2,0,8,21
150,samrat prithviraj,2,15,7,379
151,westworld,2,4,6,140
152,the empire strikes back,2,0,8,21
153,casino royale,2,0,6,313
154,shazam! fury of the gods,2,0,15,4
155,sonic the hedgehog,2,0,15,4
156,pearl harbor,2,15,7,379
157,godzilla vs. kong,2,4,6,140
158,the revenant,2,0,9,7
159,star wars: episode vii - the force awakens,2,0,16,1
160,captain america: civil war,2,0,16,1
161,logan,2,15,16,27
162,bonnie and clyde,2,12,4,10
163,speed,2,0,6,313
164,fantastic four,2,0,16,1
165,kill bill: vol. 1,2,2,9,3
166,star wars: episode ii - attack of the clones,2,0,8,21
167,the meg,2,16,16,391
168,mr. &amp; mrs. smith,2,1,4,6
169,big trouble in little china,2,0,15,4
170,edge of tomorrow,2,0,16,1
171,armageddon,2,0,16,1
173,underwater,2,16,16,391
174,ready player one,2,0,16,1
175,starship troopers,2,0,16,1
176,natural born killers,2,2,9,3
177,tuff turf,2,1,9,26
178,les valseuses,2,1,4,6
179,red sparrow,2,15,6,16
180,the flash,2,0,8,21
181,ant-man and the wasp: quantumania,2,0,15,4
182,collateral,2,2,9,3
183,the fugitive,2,2,9,3
184,dune,2,0,16,1
185,the heat,2,1,4,6
186,big hero 6,4,3,3,286
187,get smart,2,0,15,4
188,predator,2,0,10,459
189,the hunt,2,16,6,443
190,x-men,2,0,16,1
191,rush,2,12,9,17
192,jungle cruise,2,0,15,4
193,star wars: episode viii - the last jedi,2,0,8,21
194,black hawk down,2,15,7,379
195,the amazing spider-man 2,2,0,16,1
196,solo: a star wars story,2,0,16,1
197,justice league,2,0,8,21
198,the mask,2,1,4,6
199,venom,2,0,16,1
200,fast x,2,2,5,37
201,wonder woman 1984,2,0,8,21
202,reign of fire,2,0,8,21
203,oblivion,2,0,16,1
204,the last castle,2,15,6,16
205,the incredibles,4,3,3,286
206,wonder woman,2,0,8,21
207,wrong place,2,2,6,5
208,alita: battle angel,2,0,16,1
209,the equalizer,2,2,6,5
210,spectre,2,0,6,313
211,anek,2,15,6,16
212,ant-man,2,0,15,4
213,spider-man 3,2,0,16,1
214,robocop,2,2,16,474
215,captain america: the winter soldier,2,0,16,1
216,apocalypto,2,0,9,7
217,snowpiercer,2,4,6,140
218,rise of the footsoldier: origins,2,2,9,3
219,kira &amp; el gin,2,15,7,379
220,willow,2,0,9,7
221,tropic thunder,2,1,2,39
222,pirates of the caribbean: dead man's chest,2,0,8,21
223,iron man three,2,0,16,1
224,jumanji: the next level,2,0,15,4
225,mission: impossible - ghost protocol,2,0,6,313
226,ready or not,2,1,10,23
227,from dusk till dawn,2,2,10,45
228,the fighter,2,12,9,17
229,aquaman and the lost kingdom,2,0,8,21
230,baywatch,2,1,4,6
231,clash of the titans,2,0,18,2
232,the hunger games: the ballad of songbirds and snakes,2,0,9,7
233,jurassic park iii,2,0,16,1
234,shika no ou,4,3,3,286
235,terminator: dark fate,2,0,16,1
236,twister,2,0,6,313
237,underworld,2,13,6,43
238,red dawn,2,15,6,16
239,iron man 2,2,0,16,1
240,v for vendetta,2,15,16,27
241,the karate kid,2,15,18,305
242,man of steel,2,0,16,1
243,mission: impossible ii,2,0,6,313
244,scott pilgrim vs. the world,2,1,8,42
245,game night,2,0,15,4
246,k.g.f: chapter 2,2,2,9,3
247,secret headquarters,2,0,15,4
248,beverly hills cop,2,1,4,6
249,army of thieves,2,1,4,6
250,the magnificent seven,2,0,19,425
251,infinite,2,4,6,140
252,x-men: apocalypse,2,0,16,1
253,the incredible hulk,2,0,16,1
254,kong: skull island,2,0,8,21
255,ant-man and the wasp,2,0,15,4
256,transformers: rise of the beasts,2,0,16,1
257,mad max,2,0,16,1
258,power rangers,2,0,8,21
259,the harder they fall,2,15,19,53
260,mission: impossible - rogue nation,2,0,6,313
261,hancock,2,15,8,335
262,john wick: chapter 3 - parabellum,2,2,6,5
263,pirates of the caribbean: on stranger tides,2,0,8,21
264,oldboy,2,15,5,22
265,army of the dead,2,2,10,45
266,x-men: days of future past,2,0,16,1
267,american sniper,2,12,9,17
268,jumanji: welcome to the jungle,2,0,15,4
269,batman returns,2,2,8,62
270,shazam!,2,0,15,4
271,batgirl,2,0,4,156
272,spider-man 2,2,0,16,1
273,allied,2,15,0,14
274,13 hours,2,15,7,379
